Phrase,Sentiment
the prisoner,2
The sheer joy and pride they took in their work -- and in each other --,3
"has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence",3
the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?,3
far superior,4
said the film was better than Saving Private Ryan .,4
by,2
performance,2
such a dungpile,0
through this film,3
delivers real bump-in - the-night chills,3
come up,2
that come full circle to end on a positive -LRB- if tragic -RRB- note,3
"... is a brilliantly played , deeply unsettling experience .",3
refreshingly forthright,3
be more like hell,0
an engrossing story about a horrifying historical event,3
a fantastic dual performance,4
"A vivid , spicy footnote to history , and a movie that grips and holds you in rapt attention from",4
there 's nothing very attractive about this movie,0
inside the wave,3
"several cliched movie structures : the road movie , the coming-of-age movie",1
A raunchy and frequently hilarious follow-up to the gifted Korean American stand-up 's I 'm the One That I Want .,3
"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",3
"directed , barely ,",0
film compels,3
"Sarah 's dedication to finding her husband seems more psychotic than romantic ,",1
wanes,1
gay fantasia,2
", Secret Ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",4
the soulful gravity of Crudup 's anchoring performance,3
"A much better documentary -- more revealing , more emotional and more surprising -- than its pedestrian English title would have you believe .",4
expect --,2
The Wild Thornberrys Movie is pleasant enough,3
overshadowed by its predictability,1
Mile,2
his film crackles,3
tasty slice,3
"your seat with its shape-shifting perils , political intrigue and brushes",3
offers chills,3
satisfying niblet,3
provides a satisfyingly unsettling ride,3
a case study,2
co-writer,2
dreamlike,3
is one of the outstanding thrillers of recent years .,4
keeping themselves kicking,3
Audience Award,3
"Obvious , obnoxious and didactic burlesque",0
"are stanzas of breathtaking , awe-inspiring visual poetry",4
combination,2
"He drags it back , single-handed .",3
once too often,1
more X,3
satisfyingly unsettling,3
commendable,3
", moving , and adventurous directorial debut",4
terms,2
good guys,3
the director uses the last act to reel in the audience since its poignancy hooks us completely .,3
"That ` Alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of Witherspoon -LRB- who is always a joy to watch , even when her material is not first-rate -RRB- ...",3
too often,2
largely,2
Vincent Gallo,2
its heartfelt concern about North Korea 's recent past and South Korea 's future adds a much needed moral weight,3
TV-movie,2
surrounding us,3
genuine laughs,4
Take away the controversy,3
"an ambition to say something about its subjects , but not",2
Leon,3
delightful,4
", but solidly entertaining",4
"this properly intense , claustrophobic tale of obsessive love",4
Stupid,0
overshadowed,1
subtly kinky bedside vigils and sensational denouements,3
Comes across,2
"is clever and funny , is amused by its special effects , and",4
is more than one joke about putting the toilet seat down .,1
A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her .,0
