Phrase,Sentiment
injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .,3
that,2
never plays as dramatic even when dramatic things happen to people .,0
"None of this is very original , and it is n't particularly funny .",0
", Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game .",3
The most compelling performance of the year,4
stirring visual sequence,3
"is a smart movie that knows its classical music , knows its Freud and knows its Sade",4
budding demons,2
such a good job,4
you 're entirely unprepared .,2
credits,2
LaBute continues to improve .,3
"This is popcorn movie fun with equal doses of action , cheese , ham and cheek -LRB- as well as a serious debt to The Road Warrior -RRB- , but it feels like unrealized potential",3
An odd drama set in the world of lingerie models and bar dancers in the Midwest that held my interest precisely because it did n't try to .,4
"it makes up for with a great , fiery passion .",4
wanted so badly for the protagonist,3
superb performance,4
gutsy and,3
hugely imaginative and successful casting,4
its Oscar-sweeping franchise predecessor,4
energizing,4
All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .,0
a decent sense of humor and plenty,4
", endearing , masterful",4
larger than life,3
"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .",1
"A smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist",4
life,3
ponder the whole notion of passion,3
an utterly incompetent conclusion,0
A fascinating case study,4
that he 's made at least one damn fine horror movie,4
"from a bygone era , and its convolutions ...",2
"an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form",1
then,2
on a positive -LRB- if tragic -RRB- note,3
so much that one viewing ca n't possibly be enough,4
"Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience .",3
director,2
dead,1
"the best , most",3
penetrating,3
creeps into your heart,3
that an epic four-hour Indian musical about a cricket game could be this good,3
to be pleasant in spite of its predictability,3
most of what passes for sex in the movies look like cheap hysterics,0
of a sudden lunch rush at the diner,2
amusedly,3
time frame right,3
from the dullest science fiction,0
same,2
loony,1
is blazingly alive and admirable on many levels,4
piffle is all that the airhead movie business deserves from him right now,1
gives his heart,3
"is nicely shot , well-edited and features a standout performance by Diane Lane .",4
"no doubt , it 's the worst movie I 've seen this summer",0
sometimes the dreams of youth should remain just that,1
comes off winningly,4
"lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches ... gorgeous , passionate , and at times uncommonly moving .",4
something fresh to say,3
"As quiet , patient and tenacious as Mr. Lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",4
that 's suspenseful enough for older kids but not too scary for the school-age crowd,3
soap,2
of faith,3
earnest homage,3
over the head with a moral,3
"Evokes the frustration , the awkwardness and the euphoria of growing up",3
-- but still quite tasty and inviting all the same,4
the film is well-crafted,4
"this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence",4
its own good,3
is a very good viewing alternative for young women .,3
Dogtown and Z-Boys has a compelling story to tell .,3
so fascinating you wo n't be able to look away for a second,4
hilariously wicked black comedy,4
Trouble Every Day is a plodding mess .,0
does n't leave you with much,1
A visual spectacle full of stunning images and effects .,4
number 1,3
its storytelling prowess and special effects,4
some weird Masterpiece Theater sketch,2
"A full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence",3
has a well-deserved reputation as one of the cinema world 's great visual stylists,4
Punitively affirmational,3
swallow thanks to remarkable performances,3
An intelligently made -LRB- and beautifully edited -RRB-,4
"a light , yet engrossing piece .",4
pained,1
gives a superb performance full of deep feeling .,4
a spectacular performance - ahem,4
The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient,0
'd watch these two together again in a New York minute,3
"Some of the computer animation is handsome ,",3
a 95-minute commercial,0
"Home Movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face .",4
"'s as rude and profane as ever , always hilarious and , most of the time , absolutely right",4
genuine and singular artist,4
Windtalkers,2
"a black comedy ,",3
"is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams",4
"Old people will love this movie , and I mean that in the nicest possible way",3
the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,1
"several cliched movie structures : the road movie , the coming-of-age movie ,",1
would be very sweet indeed,3
faced,3
"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row",1
Wonderful fencing scenes and an exciting plot,3
's plenty to enjoy,3
Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .,2
deeply absorbing piece,4
best case,3
dazzling,4
"only know as an evil , monstrous lunatic",2
but it was n't horrible either,3
stand tall,3
is a gem,3
you can feel the love .,3
clever and subtle,4
have a good time,3
a strong pulse,3
motivated by something more than franchise possibilities,3
"We 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in Fire that makes the formula fresh again .",3
Westbrook 's foundation and Dalrymple 's film earn their uplift,4
other than their funny accents,2
So vivid,3
to have a good time as it doles out pieces of the famous director 's life,3
to take us on his sentimental journey of the heart,4
"A real winner -- smart , funny , subtle , and resonant .",4
to be a Hollywood satire but winds up as the kind of film that should be the target of something,1
a powerful and deeply moving example of melodramatic moviemaking,4
a delight,4
become apparent that the franchise 's best years are long past,0
"As predictable as the outcome of a Globetrotters-Generals game , Juwanna Mann is even more ludicrous than you 'd expect from the guy-in-a-dress genre ,",0
"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno",1
"is a really cool bit -- the movie 's conception of a future-world holographic librarian -LRB- Orlando Jones -RRB- who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized .",4
created a monster but did n't know how to handle it,1
drop everything and run to Ichi,3
in the present,3
exciting,4
"Written , flatly , by David Kendall and directed , barely , by There 's Something About Mary co-writer Ed Decter .",1
"Engages us in constant fits of laughter , until we find ourselves surprised at how much we care about the story ,",4
feel the beat down to your toes,3
Jam-packed,3
innocent,3
the film a `` cooler '' PG-13 rating,2
of rot and hack,1
"losing its focus , point and purpose in a mess of mixed messages , over-blown drama and Bruce Willis",0
"We hate -LRB- Madonna -RRB- within the film 's first five minutes , and",0
dramatic,3
"at the edge of your seat with its shape-shifting perils , political intrigue and brushes",4
"sure to give you a lot of laughs in this simple , sweet and romantic comedy",4
the tiny revelations of real life,3
a rollicking adventure,4
completely,2
`` Abandon '' will leave you wanting to abandon the theater .,0
of both adventure and song,3
would be me : fighting off the urge to doze .,0
"Gangster No. 1 is solid , satisfying fare for adults .",4
"More vaudeville show than well-constructed narrative ,",1
crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .,4
let 's get this thing over with,1
creating the layered richness of the imagery in this chiaroscuro of madness and light,4
look classy in a '60s -,3
is just a corny examination of a young actress trying to find her way .,1
if Argento 's Hollywood counterparts ... had this much imagination and nerve,3
resoundingly,3
awarded mythic status,3
"Strange , funny , twisted , brilliant and macabre .",4
"The punch lines that miss , unfortunately , outnumber the hits by three-to-one .",1
Invincible,3
usual bad boy weirdo role,2
usual,2
plot complications,2
I truly enjoyed most of Mostly Martha while I ne,4
"endearing , masterful",4
inspiration,4
is well suited to capture these musicians in full regalia,3
"of his first film , The Full Monty ,",1
creepy stories,3
-LRB- A -RRB- real pleasure in its laid-back way .,4
whooshing you from one visual marvel,3
going through the motions,1
"an eerily suspenseful , deeply absorbing piece",4
five,2
succeeds primarily with her typical blend of unsettling atmospherics,4
story,2
that 's suitable for all ages -- a movie that will make you laugh,4
"Poor editing , bad bluescreen",0
", this melancholic film noir reminded me a lot of Memento ...",3
his childhood dream,2
to be genuinely satisfying,3
its comic course,3
"At times , the movie looks genuinely pretty .",4
"tight and truthful , full of funny situations and honest observations",4
"spirals downward ,",1
"to call for prevention rather than to place blame , making it one of the best war movies ever made",4
"A college story that works even without vulgarity , sex scenes , and cussing !",3
law to be discerned here that producers would be well to heed,1
"the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country",3
one of the finest films of the year,4
of the funniest jokes of any movie,4
the Vertical Limit of surfing movies - memorable stunts with lots of downtime in between,3
impressive and,4
this is downright movie penance,1
"interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast , and",4
Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .,3
I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry,4
of saying that piffle is all that the airhead movie business deserves from him right now,1
in which extravagant chance can distort our perspective and throw us off the path of good sense,2
back and,2
", unimaginative",0
tiresome love triangles,0
The dragons are the real stars of Reign of Fire and you wo n't be disappointed .,3
"You can taste it ,",3
"have been benefited from a sharper , cleaner script before it went in front of the camera",3
frighten and,1
striking a blow for artistic integrity,3
"An intelligent , multi-layered and profoundly humanist -LRB- not to mention gently political -RRB- meditation",3
whimsical,3
It 's the funniest American comedy since Graffiti Bridge .,4
"with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes",4
of the best films of the year,4
"Mr. Polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival",3
"catch the pitch of his poetics , savor the pleasure of his sounds and images ,",4
into an A-list director,3
is one of this year 's very best pictures .,4
this charmer has a spirit that can not be denied,4
distort our perspective,2
"with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications",2
are more deeply thought through than in most ` right-thinking ' films,3
ever had the inclination to make the most sincere and artful movie in which Adam Sandler will probably ever appear,3
Producer John Penotti surveyed high school students ... and came back with the astonishing revelation that `` they wanted to see something that did n't talk down to them . '',3
highlight the radical action,2
that the bulk of the movie centers on the wrong character,1
"has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history",3
"cinematic intoxication , a wildly inventive mixture of comedy and melodrama",4
dragons,1
"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",0
spikes of sly humor,3
to alienate the mainstream audience while ringing cliched to hardened indie-heads,0
far from disappointing,3
grownups,3
's remarkable procession of sweeping pictures that have reinvigorated the romance genre .,4
no denying that Burns is a filmmaker with a bright future ahead of him,4
raises the film above anything Sandler 's been attached to before,3
of elegant wit and artifice,3
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",4
so good,4
"Jagger , Stoppard and",3
an almost constant mindset of suspense,3
an emotional wallop,3
has some special qualities and the soulful gravity of Crudup 's anchoring performance,3
"It may scream low budget , but this charmer has a spirit that can not be denied",3
animal,3
postcard,2
just like the woman who inspired it,2
more fun to make than it is to sit through,1
delicately calibrated in tone,3
", whatever your orientation .",3
be fruitful,3
"his first film , The Full Monty ,",2
", it uses very little dialogue , making it relatively effortless to read and follow the action at the same time .",3
"A time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .",4
a deserved co-winner,3
"its exquisite acting , inventive screenplay , mesmerizing music",4
feels as if the movie is more interested in entertaining itself than in amusing us,1
spiritual film taps,3
"Brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life .",4
monstrous,1
civic,2
when commercialism has squeezed the life out of whatever idealism American moviemaking ever had,0
it 's just as wonderful on the big screen .,3
The Bard as black comedy -- Willie would have loved it .,4
injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater,4
"Me no lika da accents so good , but I thoroughly enjoyed the love story",3
remarkable procession of sweeping pictures,4
's there on the screen in their version of The Quiet American,2
in a big way,3
"a strong , character-oriented piece",4
a day at the beach,3
"treat its characters , weak and strong , as fallible human beings , not caricatures",3
a smashing success,4
The modern master,4
", laugh-a-minute crowd pleaser",3
remarkable performance,4
"charming , banter-filled comedy",4
be more like hell,0
it will warm your heart,4
of David,2
is that there 's a casual intelligence that permeates the script,3
a house party,2
"really , really good",4
emotional force,3
", Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider .",0
a study,2
may be ploughing the same furrow once too often .,1
Scherfig,2
"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",4
", and at times uncommonly moving",4
are hardly enough .,1
terrific special effects,4
sensational,4
considerable charm,3
wears out its welcome as tryingly as the title character,1
that ultimately coheres into a sane and breathtakingly creative film,4
of the way it allows the mind to enter and accept another world,4
overcome his personal obstacles and,3
would still,2
"The Emperor 's Club , ruthless in its own placid way",3
happy listening to movies,3
"A thriller whose style , structure and rhythms are so integrated with the story",4
limited but enthusiastic,3
of our most flamboyant female comics,3
for everyone,3
West,2
Strong filmmaking requires a clear sense of purpose,3
"barely stops moving , portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .",3
historical event,3
arriving at a particularly dark moment in history,2
burn the negative and the script and,0
of decent material,2
in his charming 2000 debut Shanghai Noon,3
carry the movie,3
cleverly,3
as inspiring,3
sporadically funny,3
Ally McBeal-style fantasy sequences,3
"this little $ 1.8 million charmer ,",3
created a monster but,2
"perfectly acceptable , occasionally very enjoyable children 's entertainment",3
"This quiet , introspective and entertaining independent is worth seeking .",4
is a very ambitious project for a fairly inexperienced filmmaker,3
"Tartakovsky 's team has some freakish powers of visual charm , but",3
degrading and strangely liberating,3
downright Hitchcockian,3
"arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact .",3
several cliched movie structures : the road movie,1
"The subtitled costume drama is set in a remote African empire before cell phones , guns , and the internal combustion engine",3
`,2
--,2
laugh because he acts so goofy all the time,3
tumbleweeds,1
vintage Looney Tunes,3
convinced,3
is a deliberately unsteady mixture of stylistic elements,3
potential,3
The punch lines that miss,1
like a series of vignettes,2
An intelligent and deeply,4
", I enjoyed .",4
Monty,2
especially the frank sex scenes -RRB- ensure that the film is never dull,4
More of the same old garbage Hollywood has been trying to pass off as acceptable teen entertainment for some time now .,0
"indie of the year ,",3
it comes off as annoying rather than charming,0
reveals an ironic manifestation of institutionalized slavery that ties a black-owned record label with a white-empowered police force .,3
of this year 's very best pictures,4
it 's a funny no-brainer,3
A compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother 's hold over her .,3
has its merits,3
A mesmerizing cinematic poem from the first frame to the last .,4
's clear that Washington most certainly has a new career ahead of him,4
perceptive,3
"depressing ,",1
"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .",3
"Sillier , cuter , and",3
provocative and prescient,4
a study of the gambles of the publishing world,2
"relic from a bygone era , and its convolutions ... feel",2
very well,3
"really , really , really good things can come in enormous packages",4
gives way,2
irresistibly than in ` Baran,3
tactfully,3
"being both revelatory and narcissistic ,",2
A pretty funny movie,4
predictable denouement,1
"jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology",4
"is faster , livelier and a good deal funnier than his original .",4
"feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs",1
more enjoyable,3
`` gory mayhem '' is your idea of a good time,3
"is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .",4
emotional depth,3
of sophisticated intrigue and human-scale characters,3
"because of the universal themes , earnest performances",3
