Phrase,label
"Spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff .",Positive
of good sense,Positive
", then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",Negative
So could young romantics out on a date .,Positive
humour,Positive
You bet there is and it 's what makes this rather convoluted journey worth taking,Positive
tries for more .,Negative
"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull ,",Positive
"but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense",Positive
centers,Positive
midlife crisis,Negative
hate,Negative
putting together any movies of particular value or merit,Positive
sensual and funny,Positive
"Some of the computer animation is handsome ,",Positive
right questions,Positive
solid,Positive
to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,Negative
a thriller,Positive
once too often,Negative
war movies,Negative
One of the year 's most weirdly engaging and unpredictable character pieces .,Positive
's brilliant,Positive
they do n't fit well together and,Negative
keep it interested,Positive
proves that sometimes the dreams of youth should remain just that,Negative
hack,Negative
Fire,Negative
"a nostalgic , twisty yarn that will keep them guessing",Positive
brings the proper conviction to his role as -LRB- Jason Bourne -RRB-,Positive
the delicious pulpiness of its lurid fiction,Positive
stylized with a touch of John Woo bullet ballet,Positive
", you 're entirely unprepared .",Negative
the clever credits roll,Positive
ploughing the same furrow,Negative
"of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements",Positive
` laugh therapy ',Positive
"whose view of America , history and the awkwardness of human life is generous and deep",Positive
"like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",Negative
a pair of fascinating performances,Positive
good sense,Positive
"Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose ,",Positive
is impossible to care about and is n't very funny,Negative
"like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form",Negative
impression,Positive
evoke memories and emotions which are anything,Positive
drag,Negative
reek of a script,Negative
A well-made,Positive
humane,Positive
is a children 's film in the truest sense,Positive
plays as dramatic,Positive
"Invigorating , surreal , and resonant with a rainbow of emotion .",Positive
might look like Vulgar .,Negative
"a bilingual charmer ,",Positive
"can honestly describe as looking , sounding and simply feeling like no other film in recent history",Positive
`` Austin Powers in Goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,Positive
"aims to be funny , uplifting and moving , sometimes all at once",Positive
for occasional smiles,Positive
surprisingly ` solid ' achievement,Positive
is a really special walk in the woods,Positive
than to show us a good time,Positive
"its courage , ideas , technical proficiency",Positive
sensual and,Positive
"evil , monstrous lunatic",Negative
strong themes of familial ties,Positive
A well-intentioned effort that 's still too burdened by the actor,Positive
has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .,Negative
several old themes,Negative
its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .,Negative
surprisingly,Positive
is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .,Positive
This is a children 's film in the truest sense .,Positive
some honest insight,Positive
black-and-white inspires,Positive
cliche,Negative
happy ending,Positive
stylized Swedish fillm about a modern city,Positive
first computer-generated feature cartoon,Positive
have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD,Negative
dupe,Negative
're entirely unprepared,Negative
of visual charm,Positive
would have a hard time sitting through this one .,Negative
occasional smiles,Positive
spirals downward,Negative
inoffensive,Negative
good for the goose,Positive
", is still good fun .",Positive
Lawrence 's over-indulgent tirade,Negative
's a love story as sanguine as its title,Positive
More vaudeville show than well-constructed narrative,Negative
and it is n't that funny,Negative
"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker .",Negative
confident filmmaking and,Positive
much-needed levity,Positive
do n't like,Negative
as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,Negative
be disappointed,Negative
brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .,Positive
"lets you brush up against the humanity of a psycho , without making him any less psycho .",Positive
the-night,Positive
"with pat storylines , precious circumstances and beautiful stars",Positive
success,Positive
"the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep",Positive
wonderful on the big screen,Positive
Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game .,Positive
entirely unprepared,Negative
makes Eight Legged Freaks a perfectly entertaining summer diversion,Positive
contemplation,Positive
fused with solid performances and eerie atmosphere .,Positive
deceit,Negative
it 's insanely violent and very graphic,Positive
"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",Negative
"An unsettling , memorable cinematic experience",Positive
"coming down off of Miramax 's deep shelves after a couple of aborted attempts ,",Negative
sweet and,Positive
"At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon .",Positive
as tryingly as the title,Negative
Keenly observed and refreshingly natural,Positive
mainstream audiences have rarely seen,Positive
a good indication,Positive
Godfrey Reggio 's career shines like a lonely beacon .,Positive
Got,Positive
can depress you about life itself,Negative
Superbly,Positive
a psycho,Negative
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,Positive
that captures the innocence and budding demons within a wallflower,Positive
created a monster but did n't know how to handle it,Negative
"If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",Positive
give,Positive
accurate,Positive
thought through than in most ` right-thinking ' films,Positive
revel in its splendor,Positive
"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",Negative
"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",Negative
indie of the year,Positive
powerful people,Positive
is more fully,Positive
it does n't leave you with much .,Negative
shiver-inducing,Positive
ham-fisted,Negative
"This quiet , introspective and entertaining independent",Positive
"'s most thoughtful films about art , ethics , and the cost of moral compromise .",Positive
B movies,Negative
Perhaps it 's cliche to call the film ` refreshing,Positive
is the script 's endless assault of embarrassingly ham-fisted sex jokes,Negative
Reeks of rot and hack,Negative
